question;options;type
Вопрос;Варианты ответов;Тип
Что ты делаешь первым делом утром?;"Проверяешь телефон; Завариваешь кофе; Делаешь зарядку; Просыпаешься медленно";single
Как ты предпочитаешь пить кофе?;"Чёрный; С молоком; С сахаром; Вообще без кофе";single
Что закажешь, если голоден и лень готовить?;"Пиццу; Суши; Бургер; Хачапури";single
Как отвечаешь на звонок, если занят?;"Сбрасываешь и пишешь; Берёшь и коротко говоришь; Не берёшь и перезваниваешь позже; Всегда берёшь";single
Что для тебя идеальный вечер после работы?;"Фильм и вино; Прогулка; Разговор по душам; Спорт";single
Что может выбить тебя из равновесия?;"Плохой интернет; Опоздания; Шум; Беспорядок";single
Как ты танцуешь на вечеринке?;"От души; Аккуратно; Не танцую; Танцую только если выпил";single
Как ты реагируешь на стресс?;"Ухожу в тишину; Начинаю действовать; Шучу; Жалуюсь, но по делу";single
Что ты не выносишь больше всего?;"Грубость; Давление; Поверхностность; Шум";single
Что тебя может моментально рассмешить?;"Хорошая самоирония; Абсурдная шутка; Дружеский мем; Ситуационный юмор";single
Что тебя вдохновляет?;"Интересные люди; Музыка; Природа; Новая цель";single
Что чаще всего играет у тебя в наушниках?;"Спокойная музыка; Рок; Электроника; Подкасты";single
Что выберешь в свободный день?;"Музыку и тишину; Спорт; Сон; Встречу с близким человеком";single
Что ты ценишь в людях больше всего?;"Простоту; Ум; Честность; Теплоту  Интеллект; Ирония; Улыбка; Глубина";single
Что делает тебя настоящим другом?;"Умение слушать; Надёжность; Лёгкость; Чувство такта";single
Что ты думаешь о «своём человеке»?;"Совпадение ценностей; Химия; Судьба; Комфорт";single
Как ты относишься к прошлому?;"С благодарностью; С самоиронией; Не люблю вспоминать; Философски";single
Что для тебя любовь?;"Путь; Дом; Испытание; Свобода";single
Что для тебя значит «быть рядом»?;"Делиться тишиной; Поддерживать в трудные моменты; Понимать без слов; Быть доступным";single
Как ты обычно проявляешь симпатию?;"Заботой; Иронией; Молчаливым вниманием; Небольшими сюрпризами";single
Что для тебя главное в отношениях?;"Уважение; Свобода; Эмоции; Стабильность";single
Как ты показываешь, что скучаешь?;"Пишешь первым; Не показываешь, скучаешь молча; Молчишь, но держишь связь; Отправляешь что-то тёплое";single
Какой комплимент тебе особенно приятен?;"Ты надёжный; С тобой спокойно; Ты заставляешь улыбаться; С тобой интересно";single
Как ты обычно ссоришься?;"Молчу; Ухожу подумать; Спорю; Шучу, чтобы сгладить";single
Как ты миришься после ссоры?;"Пишешь первым; Делаешь вид, что всё ок; Отправляешь мем; Зовёшь на кофе";single
Что для тебя знак близости?;"Можно молчать; Не надо объяснять; Вместе смешно; Рядом спокойно";single
Как ты реагируешь на флирт?;"Подыгрываю; Смущаюсь; Делаю вид, что не понял; Отвечаю шуткой";single
Какая у тебя скрытая суперсила?;"Успокаивать одним взглядом; Разряжать неловкость; Собираться в последний момент; Слушать без слов";single
Как лучше вести себя, если у тебя плохое настроение?;"Оставить в покое; Отвлечь; Пошутить; Обнять";single
Что делает отношения для тебя особенными?;"Смех; Доверие; Простота; Совместные моменты";single
