question;options;type
☀️ Что ты делаешь первым делом утром?;Просыпаюсь|Тянусь|Проверяю телефон|Иду за кофе;single
☕ Как ты предпочитаешь пить кофе?;Черный|С молоком|С сахаром|Не пью кофе;single
🍳 Что ты заказываешь, если лень готовить?;Пиццу|Суши|Пасту|Бургер;single
💻 Что он делает, когда скучает?;Смотрит YouTube|Листает мемы|Пишет друзьям|Играет;single
🎶 Что чаще играет у него в наушниках?;Поп|Рок|Электроника|Подкасты;single
🎭 Как он реагирует на стресс?;Шутит|Уходит в себя|Идет на прогулку|Злится;single
🌆 Каким он видит идеальный вечер?;Фильм дома|Прогулка|Ресторан|Путешествие;single
🏖 Что помогает ему восстановиться?;Сон|Природа|Тренировка|Общение;single
🎮 Что он делает, когда не хочет ничего делать?;Смотрит сериалы|Игры|Музыка|Ничего;single
🧘 Что помогает ему сохранять спокойствие?;Музыка|Друзья|Тишина|Юмор;single
😂 Как он шутит?;Сарказм|Добрый юмор|Мемы|Неловкие каламбуры;single
🏃 Что помогает ему чувствовать себя живым?;Адреналин|Творчество|Любовь|Достижения;single
📱 Как часто он отвечает на сообщения?;Мгновенно|Через час|Когда вспомнит|Редко;single
❤️ Что для него главное в отношениях?;Доверие|Страсть|Юмор|Понимание;single
💬 Что он ценит в людях больше всего?;Честность|Легкость|Интеллект|Поддержку;single
💞 Как он проявляет симпатию?;Пишет первым|Дарит внимание|Шутит|Приглашает куда-то;single
🔥 Какой комплимент ему больше понравится?;Ты невероятный|С тобой спокойно|Ты заряжаешь|Ты смешной;single
💌 Что для него знак близости?;Откровенные разговоры|Прикосновения|Совместные планы|Доверие;single
💫 Что для него значит «быть рядом»?;Понимать|Поддерживать|Молчать вместе|Быть доступным;single
🌸 Как он выражает заботу?;Помогает делами|Обнимает|Готовит|Слушает;single
💗 Что для него особенное в любви?;Чувство безопасности|Огонь эмоций|Уважение|Совместный рост;single
🫶 Что объединяет вас эмоционально?;Юмор|Ценности|Опыт|Чувства;single
